"grp1","TP1","grp2","TP2","t-test padj (BH)"
"Bacteroidetes","0w","Actinobacteria","2w","0.000396322586526004"
"Bacteroidetes","0w","Actinobacteria","4w","0.000200141250701248"
"Bacteroidetes","0w","Actinobacteria","8w","0.000335766004535559"
"Bacteroidetes","0w","Actinobacteria","5m","2.78625051517312e-05"
"Bacteroidetes","0w","Actinobacteria","6m","2.78625051517312e-05"
"Bacteroidetes","0w","Bacteroidetes","0w","4.29274610780041e-05"
"Bacteroidetes","2w","Actinobacteria","4w","0.00537981169262319"
"Bacteroidetes","2w","Actinobacteria","5m","0.000332025584363527"
"Bacteroidetes","2w","Actinobacteria","6m","0.000214509262379684"
"Bacteroidetes","2w","Bacteroidetes","0w","0.00053420681551174"
"Bacteroidetes","4w","Actinobacteria","4w","0.00879784126687144"
"Bacteroidetes","4w","Actinobacteria","5m","0.000494221517086817"
"Bacteroidetes","4w","Actinobacteria","6m","0.000332025584363527"
"Bacteroidetes","4w","Bacteroidetes","0w","0.000971047634476219"
"Bacteroidetes","8w","Actinobacteria","4w","0.00643159980649368"
"Bacteroidetes","8w","Actinobacteria","5m","0.000335097800060824"
"Bacteroidetes","8w","Actinobacteria","6m","0.000214509262379684"
"Bacteroidetes","8w","Bacteroidetes","0w","0.000614356659779446"
"Bacteroidetes","5m","Actinobacteria","2w","0.0053336327016285"
"Bacteroidetes","5m","Actinobacteria","4w","0.00157927401334245"
"Bacteroidetes","5m","Actinobacteria","8w","0.00484382556224127"
"Bacteroidetes","5m","Actinobacteria","5m","9.99639296592717e-05"
"Bacteroidetes","5m","Actinobacteria","6m","8.25275163947129e-05"
"Bacteroidetes","5m","Bacteroidetes","0w","0.000183613415534271"
"Bacteroidetes","6m","Actinobacteria","2w","0.00542508448537173"
"Bacteroidetes","6m","Actinobacteria","4w","0.00180132413421256"
"Bacteroidetes","6m","Actinobacteria","8w","0.0053336327016285"
"Bacteroidetes","6m","Actinobacteria","5m","0.000131797309550704"
"Bacteroidetes","6m","Actinobacteria","6m","9.62862091688396e-05"
"Bacteroidetes","6m","Bacteroidetes","0w","0.000202174317665506"
"Firmicutes","0w","Actinobacteria","5m","0.00615626127670197"
"Firmicutes","0w","Actinobacteria","6m","0.00484382556224127"
"Firmicutes","0w","Bacteroidetes","0w","0.00793948777219129"
"Firmicutes","2w","Actinobacteria","2w","0.00768085928171511"
"Firmicutes","2w","Actinobacteria","4w","0.00379604526034605"
"Firmicutes","2w","Actinobacteria","8w","0.00818296280986982"
"Firmicutes","2w","Actinobacteria","5m","0.000214509262379684"
"Firmicutes","2w","Actinobacteria","6m","0.000183613415534271"
"Firmicutes","2w","Bacteroidetes","0w","0.00034218019735082"
"Firmicutes","4w","Actinobacteria","4w","0.00542508448537173"
"Firmicutes","4w","Actinobacteria","5m","0.000270461432948238"
"Firmicutes","4w","Actinobacteria","6m","0.000202174317665506"
"Firmicutes","4w","Bacteroidetes","0w","0.000483353641852976"
"Firmicutes","8w","Actinobacteria","4w","0.00768085928171511"
"Firmicutes","8w","Actinobacteria","5m","0.000396322586526004"
"Firmicutes","8w","Actinobacteria","6m","0.000270461432948238"
"Firmicutes","8w","Bacteroidetes","0w","0.000808513301739911"
"Firmicutes","5m","Actinobacteria","2w","0.00643159980649368"
"Firmicutes","5m","Actinobacteria","4w","0.0022371159403262"
"Firmicutes","5m","Actinobacteria","8w","0.006046110740521"
"Firmicutes","5m","Actinobacteria","5m","0.000134324549358799"
"Firmicutes","5m","Actinobacteria","6m","9.62862091688396e-05"
"Firmicutes","5m","Bacteroidetes","0w","0.000214509262379684"
"Firmicutes","6m","Actinobacteria","5m","0.00169211461416444"
"Firmicutes","6m","Actinobacteria","6m","0.000971047634476219"
"Firmicutes","6m","Bacteroidetes","0w","0.00324848549687287"
"Fusobacteria","2w","Actinobacteria","6m","0.00768085928171511"
"Fusobacteria","4w","Actinobacteria","5m","0.00740101249894652"
"Fusobacteria","4w","Actinobacteria","6m","0.0053336327016285"
"Fusobacteria","8w","Actinobacteria","5m","0.00726967551149389"
"Fusobacteria","8w","Actinobacteria","6m","0.0053336327016285"
"Fusobacteria","6m","Actinobacteria","5m","0.00913980444426038"
"Fusobacteria","6m","Actinobacteria","6m","0.00643159980649368"
"Proteobacteria","4w","Actinobacteria","6m","0.00793948777219129"
"Proteobacteria","8w","Bacteroidetes","2w","0.000952510472234227"
"Proteobacteria","5m","Actinobacteria","5m","0.00734749398213559"
"Proteobacteria","5m","Actinobacteria","6m","0.0053336327016285"
"Proteobacteria","6m","Bacteroidetes","2w","0.00634389517103885"
